epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9062,1.79413,4.07805,1.60173,0.00577,0.78247,0.14027,0.05491,1.4768,3.79214,1.5045,0.000545182,0.000545182,0.000545182
2,98.1218,1.72675,3.02923,1.51164,0.21687,0.26924,0.25946,0.12059,1.6464,3.19744,1.5071,0.000991865,0.000991865,0.000991865
3,151.381,1.68169,3.1766,1.39936,0.34853,0.42753,0.33728,0.14401,1.73,2.92024,1.54134,0.00132853,0.00132853,0.00132853
4,202.571,1.602,2.90759,1.41527,0.39917,0.43426,0.37164,0.19049,1.74378,3.19601,1.5671,0.0011719,0.0011719,0.0011719
5,251.794,1.70418,2.68259,1.47186,0.36882,0.48357,0.37257,0.17595,1.68543,2.89439,1.54305,0.00100687,0.00100687,0.00100687
6,307.25,1.59761,2.54762,1.42631,0.46686,0.33725,0.44721,0.20524,1.66256,2.61165,1.5658,0.000841835,0.000841835,0.000841835
7,364.562,1.61908,2.65662,1.43369,0.34287,0.57442,0.42363,0.19759,1.67929,2.7459,1.58787,0.000676802,0.000676802,0.000676802
8,418.555,1.51163,2.49612,1.38323,0.31343,0.49687,0.38375,0.18245,1.62695,2.84356,1.54483,0.000511769,0.000511769,0.000511769
9,473.902,1.4777,2.38789,1.32454,0.41517,0.42019,0.42431,0.20224,1.59395,2.71367,1.52312,0.000346736,0.000346736,0.000346736
10,531.604,1.47898,2.40278,1.31233,0.48489,0.42501,0.4672,0.2215,1.63453,2.54185,1.5495,0.000181703,0.000181703,0.000181703
