epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3891,1.83455,3.9354,1.60501,0.00746,0.9507,0.04522,0.01247,1.46959,3.80671,1.50897,0.000545182,0.000545182,0.000545182
2,117.109,1.66741,2.85048,1.41552,0.34924,0.34781,0.3759,0.1403,1.75536,2.80673,1.61168,0.00108995,0.00108995,0.00108995
3,184.029,1.60968,2.58775,1.39459,0.48067,0.37998,0.42046,0.19176,1.70842,2.56351,1.62126,0.00162372,0.00162372,0.00162372
4,247.758,1.62939,2.49884,1.42542,0.40441,0.4854,0.43689,0.18466,1.84945,2.73229,1.74383,0.00161749,0.00161749,0.00161749
5,314.791,1.6799,2.41197,1.45888,0.33232,0.42019,0.41522,0.16108,1.86557,3.04248,1.83587,0.00160099,0.00160099,0.00160099
6,385.793,1.5716,2.64608,1.39515,0.38761,0.46666,0.37789,0.17552,1.83697,2.73941,1.73926,0.00158448,0.00158448,0.00158448
7,460.775,1.57227,2.41295,1.4036,0.33938,0.61447,0.40087,0.1888,1.74974,2.884,1.67355,0.00156798,0.00156798,0.00156798
8,531.387,1.58485,2.32033,1.38431,0.428,0.48868,0.45884,0.21858,1.69261,2.59607,1.64898,0.00155148,0.00155148,0.00155148
9,605.387,1.53575,2.47217,1.39042,0.55479,0.37944,0.49812,0.21721,1.7952,2.95488,1.7788,0.00153497,0.00153497,0.00153497
10,678.205,1.64964,2.40234,1.50743,0.4195,0.48279,0.4258,0.157,1.83045,2.87654,1.80849,0.00151847,0.00151847,0.00151847
11,750.708,1.66851,2.41273,1.45821,0.48526,0.32316,0.39265,0.15969,1.71612,2.42745,1.7566,0.00150197,0.00150197,0.00150197
12,825.157,1.43953,1.98348,1.32142,0.31432,0.49844,0.44459,0.19245,1.72369,2.35516,1.77908,0.00148546,0.00148546,0.00148546
13,897.801,1.6287,2.30222,1.47207,0.34014,0.57047,0.49883,0.22661,1.82468,2.37659,1.96516,0.00146896,0.00146896,0.00146896
14,972.572,1.57429,2.0059,1.43225,0.39955,0.52359,0.44856,0.20658,1.90601,2.44493,1.98193,0.00145246,0.00145246,0.00145246
15,1047.28,1.66234,2.1453,1.47475,0.50195,0.54704,0.51842,0.24166,1.82365,2.37694,1.83394,0.00143595,0.00143595,0.00143595
16,1120.34,1.59371,2.22291,1.44367,0.41934,0.64397,0.4425,0.21237,1.7643,2.30232,1.67698,0.00141945,0.00141945,0.00141945
17,1190.71,1.50391,1.95908,1.33301,0.43214,0.69953,0.4949,0.2346,1.70546,2.34228,1.65526,0.00140295,0.00140295,0.00140295
18,1261.29,1.46094,1.86867,1.35994,0.451,0.64299,0.50607,0.24248,1.71346,3.0007,1.73948,0.00138644,0.00138644,0.00138644
19,1331.81,1.42004,1.86372,1.36201,0.58409,0.42019,0.51399,0.2449,1.71736,2.71174,1.74911,0.00136994,0.00136994,0.00136994
20,1402.54,1.45057,1.69421,1.37848,0.64668,0.47686,0.57883,0.30857,1.79167,2.27175,1.82316,0.00135344,0.00135344,0.00135344
21,1469.2,1.37072,1.98093,1.30884,0.46263,0.57558,0.53029,0.28462,1.78712,2.43958,1.78181,0.00133693,0.00133693,0.00133693
22,1535.82,1.54363,1.72984,1.37717,0.53479,0.48854,0.54998,0.2914,1.75264,2.42438,1.75555,0.00132043,0.00132043,0.00132043
23,1602.9,1.45613,1.81359,1.341,0.40189,0.65023,0.5153,0.2596,1.74695,2.3307,1.67084,0.00130393,0.00130393,0.00130393
24,1672.38,1.48153,1.74645,1.33297,0.4786,0.57078,0.51386,0.23859,1.77663,2.08354,1.62535,0.00128742,0.00128742,0.00128742
25,1738.85,1.44424,1.66595,1.31405,0.49896,0.69249,0.52514,0.26244,1.80047,1.96967,1.64422,0.00127092,0.00127092,0.00127092
26,1806.35,1.41833,1.90573,1.3352,0.55964,0.69875,0.59819,0.29903,1.77943,2.07451,1.64792,0.00125442,0.00125442,0.00125442
27,1873.17,1.45691,1.63507,1.35564,0.55328,0.66432,0.60559,0.33112,1.71477,2.04493,1.66866,0.00123791,0.00123791,0.00123791
28,1939.85,1.40903,1.69681,1.33856,0.63263,0.59986,0.60469,0.34102,1.75472,2.12824,1.69903,0.00122141,0.00122141,0.00122141
29,2006.56,1.46683,1.75854,1.35647,0.62477,0.59468,0.58329,0.32834,1.80273,2.17151,1.70649,0.00120491,0.00120491,0.00120491
30,2072.94,1.33822,1.58693,1.28956,0.59014,0.56651,0.58568,0.27057,1.82145,2.02203,1.71025,0.0011884,0.0011884,0.0011884
31,2139.15,1.382,1.56146,1.30502,0.52075,0.60876,0.60908,0.25153,1.80116,1.97088,1.69718,0.0011719,0.0011719,0.0011719
32,3999.32,1.36909,1.46704,1.24874,0.5643,0.60094,0.56537,0.26199,1.70638,2.05747,1.64973,0.0011554,0.0011554,0.0011554
33,5141.71,1.42304,1.53141,1.32173,0.63883,0.67711,0.62821,0.29471,1.79451,2.22173,1.75618,0.00113889,0.00113889,0.00113889
34,5292.25,1.34395,1.40586,1.26068,0.64018,0.65649,0.62942,0.314,1.82738,2.01846,1.76645,0.00112239,0.00112239,0.00112239
35,6349.95,1.33789,1.41727,1.27312,0.58019,0.57682,0.66017,0.38267,1.75931,1.95951,1.69919,0.00110589,0.00110589,0.00110589
