epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.6034,1.87966,4.40163,1.90587,0,0,0,0,1.52064,4.33785,1.49006,1.5e-05,1.5e-05,1.5e-05
2,6.8612,1.718,4.38408,1.65331,0,0,0,0,1.49918,4.34158,1.47256,3.1535e-05,3.1535e-05,3.1535e-05
3,10.0302,1.6997,4.45393,1.80603,0,0,0,0,1.4743,4.33063,1.44467,4.411e-05,4.411e-05,4.411e-05
4,13.1411,2.01845,4.58453,2.1529,0,0,0,0,1.4743,4.33063,1.44467,5.2725e-05,5.2725e-05,5.2725e-05
5,16.4242,1.73214,4.28078,1.59729,0,0,0,0,1.48462,4.36394,1.47068,5.738e-05,5.738e-05,5.738e-05
6,19.506,1.64646,4.23517,1.65997,0,0,0,0,1.48462,4.36394,1.47068,5.8075e-05,5.8075e-05,5.8075e-05
7,22.8891,1.72338,4.16948,1.75456,0,0,0,0,1.46888,4.32686,1.45975,5.481e-05,5.481e-05,5.481e-05
8,26.0047,1.59004,4.07734,1.49824,0,0,0,0,1.46888,4.32686,1.45975,4.7585e-05,4.7585e-05,4.7585e-05
9,29.1212,1.64861,3.98213,1.7048,0,0,0,0,1.46888,4.32686,1.45975,3.64e-05,3.64e-05,3.64e-05
10,32.5602,1.56352,4.05343,1.50688,0,0,0,0,1.43948,4.34676,1.45107,2.1255e-05,2.1255e-05,2.1255e-05
