epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81468,2.09911,4.36038,1.77134,0.00444,0.5,0.00356,0.00133,1.88623,4.12167,1.60298,6e-05,6e-05,6e-05
2,7.00422,1.91196,4.08082,1.60378,0.00667,0.75,0.00838,0.00239,1.65726,4.03407,1.44367,0.00012614,0.00012614,0.00012614
3,10.2976,1.54134,3.83604,1.38367,0.00889,1,0.13719,0.05504,1.31845,3.82431,1.22729,0.00017644,0.00017644,0.00017644
4,13.3911,1.15117,5.04033,1.07799,0.00889,1,0.13719,0.05504,1.31845,3.82431,1.22729,0.0002109,0.0002109,0.0002109
5,16.514,1.41308,3.39197,1.22878,0.00889,1,0.18345,0.08631,1.13418,3.61306,1.08347,0.00022952,0.00022952,0.00022952
6,19.5647,1.31135,3.44992,1.2212,0.00889,1,0.18345,0.08631,1.13418,3.61306,1.08347,0.0002323,0.0002323,0.0002323
7,22.7432,1.3459,3.22297,1.23394,0.00889,1,0.25545,0.10986,1.05236,3.38067,0.96902,0.00021924,0.00021924,0.00021924
8,26.0902,1.3314,3.09841,1.15035,0.00889,1,0.25545,0.10986,1.05236,3.38067,0.96902,0.00019034,0.00019034,0.00019034
9,29.3945,1.25151,3.10438,1.15075,0.00889,1,0.25545,0.10986,1.05236,3.38067,0.96902,0.0001456,0.0001456,0.0001456
10,32.553,1.30995,2.8997,1.14158,0.00889,1,0.27089,0.12427,1.03976,3.31018,0.94201,8.502e-05,8.502e-05,8.502e-05
